1,Álex Abrines,SG,25.0,OKC,31.0,588.0,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.0,0.1,0.6,0.6,0.053,0.0,-3.7,0.4,-3.3,-0.2,abrinal01
2,Quincy Acy,PF,28.0,PHO,10.0,123.0,2.9,0.379,0.833,0.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,0.0,-0.1,0.0,-0.1,-0.022,0.0,-7.6,-0.5,-8.1,-0.2,acyqu01
3,Jaylen Adams,PG,22.0,ATL,34.0,428.0,7.6,0.474,0.673,0.082,2.6,12.3,7.4,19.8,1.5,1.0,19.7,13.5,0.0,-0.1,0.2,0.1,0.011,0.0,-3.8,-0.5,-4.3,-0.2,adamsja01
4,Steven Adams,C,25.0,OKC,80.0,2669.0,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2.0,2.4,12.6,16.4,0.0,5.1,4.0,9.1,0.163,0.0,0.7,0.4,1.1,2.1,adamsst01
5,Bam Adebayo,C,21.0,MIA,82.0,1913.0,17.9,0.623,0.031,0.465,9.2,24.0,16.6,14.2,1.8,3.0,17.1,15.8,0.0,3.4,3.4,6.8,0.171,0.0,-0.4,2.2,1.8,1.8,adebaba01
6,Deng Adel,SF,21.0,CLE,19.0,194.0,2.7,0.424,0.639,0.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,0.0,-0.2,0.0,-0.2,-0.054,0.0,-5.9,-1.6,-7.5,-0.3,adelde01
7,DeVaughn Akoon-Purcell,SG,25.0,DEN,7.0,22.0,8.2,0.322,0.4,0.2,4.9,14.8,9.8,37.1,4.5,0.0,15.5,25.0,0.0,-0.1,0.0,0.0,-0.051,0.0,-7.9,2.1,-5.8,0.0,akoonde01
8,LaMarcus Aldridge,C,33.0,SAS,81.0,2687.0,22.9,0.576,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,0.0,6.4,2.9,9.3,0.167,0.0,2.4,-0.6,1.8,2.6,aldrila01
9,Rawle Alkins,SG,21.0,CHI,10.0,120.0,8.1,0.418,0.308,0.308,9.9,13.7,11.8,15.2,0.4,0.0,15.3,19.0,0.0,-0.1,0.0,-0.1,-0.042,0.0,-3.8,-3.5,-7.3,-0.2,alkinra01
10,Grayson Allen,SG,23.0,UTA,38.0,416.0,7.5,0.516,0.556,0.337,0.8,5.1,3.0,8.9,0.7,1.1,13.9,24.4,0.0,-0.4,0.4,0.0,0.002,0.0,-4.2,-2.1,-6.3,-0.5,allengr01
