Rk,Player,Team,Salary,PlayerID
1,Stephen Curry,GSW,$48070014,curryst01
2,Russell Westbrook,LAL,$47063478,westbru01
3,LeBron James,LAL,$44474988,jamesle01
4,Kevin Durant,BRK,$44119845,duranke01
5,Bradley Beal,WAS,$43279250,bealbr01
6,Giannis Antetokounmpo,MIL,$42492568,antetgi01
7,Paul George,LAC,$42492568,georgpa01
8,Damian Lillard,POR,$42492492,lillada01
9,Kawhi Leonard,LAC,$42492492,leonaka01
10,John Wall,HOU,$47345760,walljo01
11,Klay Thompson,GSW,$40600080,thompkl01
12,Rudy Gobert,MIN,$38172414,goberru01
13,Anthony Davis,LAL,$37980720,davisan02
14,Khris Middleton,MIL,$37948276,middlkh01
15,Jimmy Butler,MIA,$37653300,butleji01
16,Tobias Harris,PHI,$37633050,harrito02
17,Zach LaVine,CHI,$37096500,lavinza01
18,Kyrie Irving,BRK,$36503300,irvinky01
19,Luka Dončić,DAL,$35700000,doncilu01
20,Ben Simmons,BRK,$35448672,simmobe01
21,Pascal Siakam,TOR,$35448672,siakapa01
22,Devin Booker,PHO,$33833400,bookede01
23,Karl-Anthony Towns,MIN,$33833400,townska01
24,Kristaps Porziņģis,WAS,$33833400,porzikr01
25,Joel Embiid,PHI,$33616770,embiijo01
26,Andrew Wiggins,GSW,$33616770,wiggian01
27,CJ McCollum,NOP,$33333333,mccolcj01
28,Nikola Jokić,DEN,$32478837,jokicni01
29,Jrue Holiday,MIL,$32393333,holidjr01
30,Brandon Ingram,NOP,$31650600,ingrabr01
31,Jamal Murray,DEN,$31650600,murraja01
32,D'Angelo Russell,MIN,$31377750,russeda01
33,Bam Adebayo,MIA,$30351834,adebaba01
34,Jayson Tatum,BOS,$30351834,tatumja01
35,De'Aaron Fox,SAC,$30351780,foxde01
36,Donovan Mitchell,UTA,$30351780,mitchdo01
37,Gordon Hayward,CHO,$30075000,haywago01
38,Shai Gilgeous-Alexander,OKC,$29750000,gilgesh01
39,Trae Young,ATL,$29750000,youngtr01
40,Michael Porter Jr.,DEN,$29750000,portemi01
41,Jaren Jackson Jr.,MEM,$28946605,jacksja02
42,Kevin Love,CLE,$28942830,loveke01
43,Chris Paul,PHO,$28400000,paulch01
44,Kyle Lowry,MIA,$28333334,lowryky01
45,Kemba Walker,OKC,$9165471,walkeke02
46,DeMar DeRozan,CHI,$27300000,derozde01
47,Jaylen Brown,BOS,$26669643,brownja02
48,Al Horford,BOS,$26500000,horfoal01
49,Draymond Green,GSW,$25806469,greendr01
50,Jalen Brunson,NYK,$24186047,brunsja01
51,Julius Randle,NYK,$23760000,randlju01
52,John Collins,ATL,$23500000,collijo01
53,Mike Conley,UTA,$22680000,conlemi01
54,Malcolm Brogdon,BOS,$22600000,brogdma01
55,Anfernee Simons,POR,$22321429,simonan01
56,Nikola Vučević,CHI,$22000000,vucevni01
57,Terry Rozier,CHO,$21486316,roziete01
58,Fred VanVleet,TOR,$21250000,vanvlfr01
59,Jerami Grant,POR,$20955000,grantje01
60,Buddy Hield,IND,$20522727,hieldbu01
61,Mikal Bridges,PHO,$20089286,bridgmi01
62,Jarrett Allen,CLE,$20000000,allenja01
63,Aaron Gordon,DEN,$19690909,gordoaa01
64,Tim Hardaway Jr.,DAL,$19602273,hardati02
65,Eric Gordon,HOU,$19568360,gordoer01
66,Lonzo Ball,CHI,$19534884,balllo01
67,Bojan Bogdanović,UTA,$19343000,bogdabo02
68,Caris LeVert,CLE,$18796296,leverca01
69,Joe Harris,BRK,$18642857,harrijo01
70,Domantas Sabonis,SAC,$18500000,sabondo01
71,Harrison Barnes,SAC,$18352273,barneha02
72,Clint Capela,ATL,$18206897,capelca01
73,Evan Fournier,NYK,$18000000,fournev01
74,Spencer Dinwiddie,DAL,$18000000,dinwisp01
75,Bogdan Bogdanović,ATL,$18000000,bogdabo01
76,Steven Adams,MEM,$17926829,adamsst01
77,Myles Turner,IND,$17500000,turnemy01
78,Jonathan Isaac,ORL,$17400000,isaacjo01
79,OG Anunoby,TOR,$17357143,anunoog01
80,Gary Trent Jr.,TOR,$17280000,trentga02
81,Duncan Robinson,MIA,$16902000,robindu01
82,Norman Powell,LAC,$16758621,powelno01
83,Marcus Smart,BOS,$16607142,smartma01
84,Dejounte Murray,ATL,$16571120,murrade01
85,Markelle Fultz,ORL,$16500000,fultzma01
86,Lauri Markkanen,CLE,$16475454,markkla01
87,Derrick White,BOS,$16392857,whitede01
88,Marcus Morris,LAC,$16372093,morrima03
89,Dāvis Bertāns,DAL,$16000000,bertada01
90,Jusuf Nurkić,POR,$15625000,nurkiju01
91,Malik Beasley,UTA,$15458035,beaslma01
92,Luguentz Dort,OKC,$15277778,dortlu01
93,Tyus Jones,MEM,$15000000,jonesty01
94,Jonas Valančiūnas,NOP,$14700000,valanjo01
95,Derrick Rose,NYK,$14520730,rosede01
96,Kevin Huerter,SAC,$14508929,huertke01
97,Will Barton,WAS,$14375000,bartowi01
98,Christian Wood,DAL,$14317459,woodch01
99,Wendell Carter Jr.,ORL,$14150000,cartewe01
100,Kentavious Caldwell-Pope,DEN,$14004703,caldwke01
101,Brook Lopez,MIL,$13906976,lopezbr01
102,Doug McDermott,SAS,$13750000,mcderdo01
103,Luke Kennard,LAC,$13745455,kennalu01
104,Zion Williamson,NOP,$13534817,willizi01
105,Mitchell Robinson,NYK,$13392857,robinmi01
106,Jordan Clarkson,UTA,$13340000,clarkjo01
107,Kyle Kuzma,WAS,$13000000,kuzmaky01
108,Patrick Beverley,UTA,$13000000,beverpa01
109,Josh Hart,POR,$12960000,hartjo01
110,Kelly Olynyk,DET,$12804878,olynyke01
111,Chris Boucher,TOR,$12771739,bouchch01
112,Kelly Oubre Jr.,CHO,$12600000,oubreke01
113,Marvin Bagley III,DET,$12500000,baglema01
114,Dorian Finney-Smith,DAL,$12402000,finnedo01
115,Josh Richardson,SAS,$12196094,richajo01
116,Ja Morant,MEM,$12119440,moranja01
117,Robert Covington,LAC,$12000000,covinro01
118,Devonte' Graham,NOP,$11550000,grahade01
119,Terrence Ross,ORL,$11500000,rosste01
120,Dillon Brooks,MEM,$11400000,brookdi01
